id,tags,object_labels
a1f0fd29e6ae9a8618baac0a27e13676e192ee03c38e79eb9cdb01d32b6e305b.jpg,HighCrime,"Human,Person,Gun,Weapon,Weaponry,Military,Military Uniform,Army,Armored,Outdoors,Soldier,Photography,Photo,Standing,Sniper,People"
68934fb5c279c38cda8e88fa67d2d6a664ec3fefac07937d2dd603292444f30e.jpg,NoCrime,"Human,Person,Art,Automobile,Transportation,Vehicle,Car,Road,Painting,Mural,Sign,Road Sign,Symbol,Urban,City,Town,Building,Street,Police"
73e74e658d83ec20d35cf16ce461b9538ecdc59ea70ff8442bce8d0c4e1422ef.png,NoCrime,"Plot,Text,Diagram,Number,Symbol,Page,Document,Plan,Measurements"
676508fcd73d674bac82600e02b5d58a562a7493046baf6bf08e0f25da44c24e.jpg,NoCrime,"Text,Poster,Advertisement,Handwriting,Word"
7a6c29f171fe6d3b550f24d7650c229e298c67fc2bbef30401f4ef93fab11a6f.jpg,NoCrime,"Human,Person,Face,Crowd,Audience,Speech,Finger,Frown"
5aaabe742ece69c0b1674b4ab83c6e8ec95cbb5fc9fea13cb38a797786cf8590.jpg,LowCrime,"Person,Human,Police,Transportation,Vehicle,Automobile,Car,Police Car,People"
3d67452953c14b9a7dcd1afdbec72aa24dce7bd41973b95cdfc6af0933be496e.jpg,HighCrime,"Weaponry,Weapon,Gun,Apparel,Clothing,Helmet,Person,Human,Counter Strike"
6f0bca21ecec643b5ad1a945007a6f6269eceb61ae34d328546f5ceb068a0358.jpg,NoCrime,"Text,Baseball,Sport,Baseball Bat,Team,Team Sport,Softball,Sports,Word,Lighting,Alphabet,Light,Banner"
8ec8fa87d201d3942664b749cd7e03db941f555a101f9e49860a62bf755c2817.jpg,NoCrime,"Person,Human,Military,Military Uniform,Army,Armored,Soldier,People,Troop"
7e4c4f7efd8463b40bfa4777a6ded8bbd5ba6d64b4af34edc796a17618f721c1.jpg,NoCrime,"Traffic Light,Light,Canopy,Awning,Billboard,Advertisement,Shop"
531340dcd806d54b323c73feeebc80be22399939a1589287038ae5b67b1a4864.jpg,HighCrime,"Text,Human,Person,Id Cards,Document,Flyer,Paper,Brochure,Poster,Advertisement,Driving License,License"
8429260af79adbfe1cb8a8c47f7605538d6bcbeb6748bd4606d52e87af6bf005.jpg,NoCrime,"Person,Human,Military,Military Uniform,Soldier,People,Army,Armored,Crowd,Team,Swat Team,Apparel,Clothing,Helmet,Athlete,Sports,Sport"
ad46250f0b7ec64278f02cf912fb17df8c97a75b857bb3702baded96f4488e7e.jpg,LowCrime,"Clothing,Apparel,Hood,Human,Person,Hat,Face,Sweatshirt,Sweater"
83b2985489871bb1ea5e83a62ff56f6aed0ad2b886aa77f26b8e0107b7341cb7.jpg,NoCrime,"Human,Art,Drawing,Person,Sketch"
7e88685b10fdd7566a2ec22b90c517bc2e745527222e23fe0ae980cf976a8e47.jpg,NoCrime,"Clothing,Apparel,Shoe,Footwear,Human,Person,Weapon,Weaponry,Gun,Military,Military Uniform,Army,Armored,Soldier"
71065ca36c31c6081ed2fd12b93cce47b8398ed5dc8fb7d1f88f40f9f5afda2c.jpg,NoCrime,"Human,Person,Automobile,Transportation,Vehicle,Car,Bumper,Nature,Sedan,Road,Outdoors,Pollution,People,Offroad,License Plate,Rally,Freeway,Pedestrian"
906b9b3f3624f07c259b036272197ccf702aa18c4f2adbb51d528a22a5cef270.jpg,NoCrime,"Human,Person,Shelf,Market,Finger,Shop,Grocery Store,Apparel,Clothing,Supermarket,People,Head"
a5ff26fb23c634ca6e1fbcd4d84301528810f73cc14d5692bfa12f3835ec8899.jpg,HighCrime,"Person,Human,Clothing,Apparel,Helmet,People,Military,Military Uniform,Army,Armored,Soldier,Swat Team,Weaponry,Weapon,Gun,Team"
786a3c50765b40ae7c50e485066cd119fcaf3f1190b667331f7c2170b8753514.jpg,NoCrime,"Human,Person,Face,Clothing,Apparel,Baseball Cap,Hat,Cap,Light,Coat,Lighting,Fire"
7d83b6c39421241096285057a3c700715456ebe5d2a7d8e69651e7c9a470a94d.jpg,NoCrime,"Person,Human,Machine,Tire,Wheel,Weapon,Weaponry,Gun,Car Wheel,Spoke,Alloy Wheel,Pump,Gas Pump,Light,Headlight,Motor,Brake"
7b34ea3f5252061e7ec2c296a92d96df4abab0679bc61c2c8bb33f60094bc794.jpg,NoCrime,"Text,Human,Person,Sphere,Art,Graphics,Symbol,Number,People,Light"
7ce1afe5304491ce77bf28902b712a95be6d52c52bbc1a42c7db9ba4532ddc37.jpg,HighCrime,"Person,Human,Weapon,Weaponry,Armory,Gun,People"
40e61de0268e7e6e34ec8b4936241ffdaa088f70798b8d651742a15ddb4a90cf.jpg,LowCrime,"Car,Vehicle,Transportation,Automobile,Road,Tarmac,Asphalt,Sedan,Parking,Parking Lot,Path"
c7efb042560fa8724dbc00f1c639c7961e12349fe5bcec40bc6cec6a78f147fe.jpg,LowCrime,"Vehicle,Transportation,Automobile,Car,Fire,Flame,Bonfire,Wheel,Machine,Fireman,Smoke"
701e7681c41107eefc11bee402f03518e5e5755d28fc3ffffeba51e1e42822f6.jpg,NoCrime,"Human,Person,Pedestrian,Funeral,Plant,Crowd,Flower,Blossom,Petal,Clothing,Apparel,Animal,Mammal,Parade,Flower Arrangement,Food,Meal,Transportation,Pet"
903d7e48cb4fbe788b59ac60f2cee8f63f0d5d151ecad26198590efc8c62ec12.png,NoCrime,"Audience,Crowd,Person,Human,Speech,Lecture,Electrical Device,Microphone,Home Decor,Linen"
be789abb0342ea544f4254bacaf1b9b3ff8b9932f28a1380dd7ac4f953fab2be.jpg,LowCrime,"Apparel,Clothing,Person,Face,Human,Hood,Female,Helmet,Photography,Portrait,Photo,Hat,Selfie,Sweatshirt,Sweater,Girl,Woman"
